Ratio Data Name,Column,Column2,22rv1|nt|6h,Reference,22rv1|nt|6h vs. Reference,22rv2|olaparib|6h,Reference2,22rv2|olaparib|6h vs. Reference
Endogenous,FGF18,NM_003862.1,3.63,3.63,1.00,4.45,3.63,1.23
Endogenous,FGF2,NM_002006.4,84.33,84.33,1.00,68.93,84.33,-1.22
Endogenous,FGF20,NM_019851.1,8.16,8.16,1.00,1.11,8.16,-7.34
Endogenous,FGF21,NM_019113.2,7.25,7.25,1.00,4.45,7.25,-1.63
Endogenous,FGF22,NM_020637.1,16.32,16.32,1.00,11.12,16.32,-1.47
Endogenous,FGF23,NM_020638.2,3.63,3.63,1.00,4.45,3.63,1.23
Endogenous,FGF3,NM_005247.2,2.72,2.72,1.00,1.11,2.72,-2.45
Endogenous,FGF4,NM_002007.2,6.35,6.35,1.00,2.22,6.35,-2.85
Endogenous,FGF5,NM_004464.3,4.53,4.53,1.00,3.34,4.53,-1.36
Endogenous,FGF7,NM_002009.3,3.63,3.63,1.00,1.11,3.63,-3.26
Endogenous,FGF8,NM_033163.3,7.25,7.25,1.00,4.45,7.25,-1.63
Endogenous,FGFR1,NM_015850.2,61.66,61.66,1.00,70.04,61.66,1.14
Endogenous,FGFR3,NM_022965.2,573.11,573.11,1.00,478.07,573.11,-1.20
Endogenous,FGFR4,NM_002011.3,66.20,66.20,1.00,54.48,66.20,-1.22
Endogenous,FIGF,NM_004469.2,9.97,9.97,1.00,8.89,9.97,-1.12
Endogenous,FLNA,NM_001456.3,770.79,770.79,1.00,658.18,770.79,-1.17
Endogenous,FLNC,NM_001127487.1,99.75,99.75,1.00,84.50,99.75,-1.18
Endogenous,FLT1,NM_002019.4,4.53,4.53,1.00,4.45,4.53,-1.02
Endogenous,FLT3,NM_004119.1,4.53,4.53,1.00,4.45,4.53,-1.02
Endogenous,FN1,NM_212482.1,430.74,430.74,1.00,398.02,430.74,-1.08
Endogenous,FOS,NM_005252.2,264.79,264.79,1.00,315.75,264.79,1.19
Endogenous,FOSL1,NM_005438.2,15.42,15.42,1.00,11.12,15.42,-1.39
Endogenous,FOXL2,NM_023067.2,29.92,29.92,1.00,17.79,29.92,-1.68
Endogenous,FOXO4,NM_005938.2,43.53,43.53,1.00,52.25,43.53,1.20
Endogenous,FST,NM_006350.2,63.48,63.48,1.00,111.18,63.48,1.75
Endogenous,FUBP1,NM_003902.3,817.95,817.95,1.00,722.67,817.95,-1.13
Endogenous,FUT8,NM_004480.4,122.42,122.42,1.00,107.84,122.42,-1.14
Endogenous,FZD10,NM_007197.2,4.53,4.53,1.00,4.45,4.53,-1.02
Endogenous,FZD2,NM_001466.2,6.35,6.35,1.00,7.78,6.35,1.23
Endogenous,FZD3,NM_017412.2,222.17,222.17,1.00,195.68,222.17,-1.14
Endogenous,FZD7,NM_003507.1,21.76,21.76,1.00,14.45,21.76,-1.51
Endogenous,FZD8,NM_031866.1,113.35,113.35,1.00,84.50,113.35,-1.34
Endogenous,FZD9,NM_003508.2,22.67,22.67,1.00,27.79,22.67,1.23
Endogenous,GADD45A,NM_001924.2,482.42,482.42,1.00,766.03,482.42,1.59
Endogenous,GADD45B,NM_015675.2,164.13,164.13,1.00,209.02,164.13,1.27
Endogenous,GADD45G,NM_006705.3,68.01,68.01,1.00,60.04,68.01,-1.13
Endogenous,GAS1,NM_002048.2,5.44,5.44,1.00,5.56,5.44,1.02
Endogenous,GATA2,NM_032638.3,599.40,599.40,1.00,737.12,599.40,1.23
Endogenous,GATA3,NM_001002295.1,26.30,26.30,1.00,23.35,26.30,-1.13
Endogenous,GDF6,NM_001001557.2,7.25,7.25,1.00,4.45,7.25,-1.63
Endogenous,GHR,NM_000163.2,159.60,159.60,1.00,121.19,159.60,-1.32
Endogenous,GLI1,NM_005269.1,11.79,11.79,1.00,3.34,11.79,-3.53
Endogenous,GLI3,NM_000168.5,87.96,87.96,1.00,72.27,87.96,-1.22
Endogenous,GNA11,NM_002067.1,552.25,552.25,1.00,512.54,552.25,-1.08
Endogenous,GNAQ,NM_002072.2,253.00,253.00,1.00,200.12,253.00,-1.26
Endogenous,GNAS,NM_080425.1,1549.74,1549.74,1.00,1525.39,1549.74,-1.02
Endogenous,GNG12,NM_018841.3,1633.17,1633.17,1.00,1627.67,1633.17,-1.00
Endogenous,GNG4,NM_004485.2,346.40,346.40,1.00,332.43,346.40,-1.04
Endogenous,GNG7,NM_052847.1,9.97,9.97,1.00,13.34,9.97,1.34
Endogenous,GPC4,NM_001448.2,124.23,124.23,1.00,103.40,124.23,-1.20
Endogenous,GRB2,NM_002086.4,1456.34,1456.34,1.00,1366.40,1456.34,-1.07
Endogenous,GRIN1,NM_000832.5,32.65,32.65,1.00,23.35,32.65,-1.40
Endogenous,GRIN2A,NM_000833.3,3.63,3.63,1.00,5.56,3.63,1.53
Endogenous,GRIN2B,NM_000834.3,2.72,2.72,1.00,3.34,2.72,1.23
Endogenous,GSK3B,NM_002093.2,1107.22,1107.22,1.00,1016.18,1107.22,-1.09
Endogenous,GTF2H3,NM_001516.3,2241.64,2241.64,1.00,2478.20,2241.64,1.11
Endogenous,GZMB,NM_004131.3,5.44,5.44,1.00,4.45,5.44,-1.22
Endogenous,H2AFX,NM_002105.2,1931.51,1931.51,1.00,1411.98,1931.51,-1.37
Endogenous,H3F3A,NM_002107.3,8499.56,8499.56,1.00,8021.63,8499.56,-1.06
Endogenous,H3F3C,NM_001013699.2,11586.35,11586.35,1.00,10742.20,11586.35,-1.08
Endogenous,HDAC1,NM_004964.2,3272.69,3272.69,1.00,3218.66,3272.69,-1.02
Endogenous,HDAC10,NM_032019.5,267.51,267.51,1.00,224.58,267.51,-1.19
Endogenous,HDAC11,NM_024827.3,34.46,34.46,1.00,27.79,34.46,-1.24
Endogenous,HDAC2,NM_001527.1,4933.97,4933.97,1.00,5069.80,4933.97,1.03
Endogenous,HDAC4,NM_006037.3,59.85,59.85,1.00,62.26,59.85,1.04
Endogenous,HDAC5,NM_005474.4,228.52,228.52,1.00,221.25,228.52,-1.03
Endogenous,HDAC6,NM_006044.2,210.38,210.38,1.00,185.67,210.38,-1.13
Endogenous,HELLS,NM_018063.3,1892.52,1892.52,1.00,1658.80,1892.52,-1.14
Endogenous,HES1,NM_005524.2,352.75,352.75,1.00,489.19,352.75,1.39
Endogenous,HES5,NM_001010926.3,30.83,30.83,1.00,25.57,30.83,-1.21
Endogenous,HGF,NM_000601.4,3485.79,3485.79,1.00,3257.57,3485.79,-1.07
Endogenous,HHEX,NM_002729.4,25.39,25.39,1.00,23.35,25.39,-1.09
Endogenous,HHIP,NM_022475.1,5.44,5.44,1.00,2.22,5.44,-2.45
Endogenous,HIST1H3B,NM_003537.3,31071.94,31071.94,1.00,24512.94,31071.94,-1.27
Endogenous,HIST1H3G,NM_003534.2,6.35,6.35,1.00,3.34,6.35,-1.90
Endogenous,HIST1H3H,NM_003536.2,15932.70,15932.70,1.00,11895.14,15932.70,-1.34
Endogenous,HMGA1,NM_145904.1,39.90,39.90,1.00,45.58,39.90,1.14
Endogenous,HMGA2,NM_003484.1,17.23,17.23,1.00,27.79,17.23,1.61
Endogenous,HNF1A,NM_000545.4,69.82,69.82,1.00,53.37,69.82,-1.31
Endogenous,HOXA10,NM_018951.3,77.08,77.08,1.00,46.70,77.08,-1.65
Endogenous,HOXA9,NM_152739.3,103.38,103.38,1.00,73.38,103.38,-1.41
Endogenous,HPGD,NM_001145816.2,37.18,37.18,1.00,35.58,37.18,-1.05
Endogenous,HRAS,NM_005343.2,470.64,470.64,1.00,388.02,470.64,-1.21
Endogenous,HSP90B1,NM_003299.1,4387.16,4387.16,1.00,3969.12,4387.16,-1.11
Endogenous,HSPA1A,NM_005345.5,81.61,81.61,1.00,63.37,81.61,-1.29
Endogenous,HSPA6,NM_002155.3,10.88,10.88,1.00,12.23,10.88,1.12
Endogenous,HSPB1,NM_001540.3,2024.91,2024.91,1.00,1508.71,2024.91,-1.34
Endogenous,IBSP,NM_004967.3,10.88,10.88,1.00,2.22,10.88,-4.89
Endogenous,ID1,NM_002165.2,7934.61,7934.61,1.00,9338.00,7934.61,1.18
Endogenous,ID2,NM_002166.4,3088.60,3088.60,1.00,4002.48,3088.60,1.30
Endogenous,ID4,NM_001546.2,1635.89,1635.89,1.00,1767.76,1635.89,1.08
Endogenous,IDH1,NM_005896.2,1580.57,1580.57,1.00,1499.82,1580.57,-1.05
Endogenous,IFNA17,NM_021268.2,4.53,4.53,1.00,3.34,4.53,-1.36
Endogenous,IFNA2,NM_000605.3,1.00,1.00,1.00,2.22,1.00,2.22
Endogenous,IFNA7,NM_021057.2,3.63,3.63,1.00,2.22,3.63,-1.63
Endogenous,IFNG,NM_000619.2,5.44,5.44,1.00,1.11,5.44,-4.89
Endogenous,IGF1,NM_000618.3,26.30,26.30,1.00,17.79,26.30,-1.48
Endogenous,IGF1R,NM_000875.2,72.55,72.55,1.00,71.16,72.55,-1.02
Endogenous,IGFBP3,NM_000598.4,10953.39,10953.39,1.00,14463.39,10953.39,1.32
Endogenous,IKBKB,NM_001556.1,130.58,130.58,1.00,122.30,130.58,-1.07
Endogenous,IKBKG,NM_003639.2,121.51,121.51,1.00,127.86,121.51,1.05
Endogenous,IL10,NM_000572.2,19.95,19.95,1.00,7.78,19.95,-2.56
Endogenous,IL11RA,NM_147162.1,48.97,48.97,1.00,55.59,48.97,1.14
Endogenous,IL12A,NM_000882.2,18.14,18.14,1.00,13.34,18.14,-1.36
Endogenous,IL12B,NM_002187.2,4.53,4.53,1.00,5.56,4.53,1.23
Endogenous,IL12RB2,NM_001559.2,5.44,5.44,1.00,7.78,5.44,1.43
Endogenous,IL13,NM_002188.2,5.44,5.44,1.00,1.11,5.44,-4.89
Endogenous,IL13RA2,NM_000640.2,77.99,77.99,1.00,78.94,77.99,1.01
Endogenous,IL15,NM_172174.1,6.35,6.35,1.00,11.12,6.35,1.75
